config_name,w_co,w_no2,w_nox,n_windows,mean_air_risk,min_air_risk,max_air_risk,air_risk_category_changes_vs_default,air_risk_category_change_pct_vs_default,final_status_changes_vs_default,final_status_change_pct_vs_default,action_changes_vs_default,action_change_pct_vs_default,non_normal_alert_count,non_normal_alert_pct,air_category_distribution,final_status_distribution
default_weights,0.2,0.4,0.4,1499,0.4086483687537723,0.05433333333333334,0.9400000000000001,0,0.0,0,0.0,0,0.0,516,34.422948632421615,"{""high"": 164, ""low"": 806, ""medium"": 529}","{""elevated_context_risk"": 2, ""high_air_risk"": 129, ""high_physiological_risk"": 288, ""high_risk_combined"": 33, ""normal"": 983, ""rising_stress"": 64}"
equal_weights,0.33,0.33,0.34,1499,0.3775580180437752,0.05093333333333334,0.9125500000000002,141,9.406270847231488,44,2.935290193462308,44,2.935290193462308,481,32.08805870580387,"{""high"": 120, ""low"": 903, ""medium"": 476}","{""elevated_context_risk"": 2, ""high_air_risk"": 94, ""high_physiological_risk"": 297, ""high_risk_combined"": 24, ""normal"": 1018, ""rising_stress"": 64}"
no2_focused,0.2,0.5,0.3,1499,0.41119074621176027,0.059500000000000004,0.937,42,2.801867911941294,20,1.33422281521014,20,1.33422281521014,501,33.42228152101401,"{""high"": 148, ""low"": 786, ""medium"": 565}","{""elevated_context_risk"": 2, ""high_air_risk"": 114, ""high_physiological_risk"": 289, ""high_risk_combined"": 32, ""normal"": 998, ""rising_stress"": 64}"
nox_focused,0.2,0.3,0.5,1499,0.40610599129578456,0.049166666666666664,0.9430000000000001,33,2.201467645096731,16,1.0673782521681119,16,1.0673782521681119,528,35.2234823215477,"{""high"": 178, ""low"": 819, ""medium"": 502}","{""elevated_context_risk"": 2, ""high_air_risk"": 141, ""high_physiological_risk"": 286, ""high_risk_combined"": 35, ""normal"": 971, ""rising_stress"": 64}"
co_focused,0.5,0.25,0.25,1499,0.33719475682200833,0.04708333333333333,0.88375,285,19.012675116744497,99,6.604402935290193,99,6.604402935290193,437,29.15276851234156,"{""high"": 65, ""low"": 992, ""medium"": 442}","{""high_air_risk"": 51, ""high_physiological_risk"": 307, ""high_risk_combined"": 14, ""normal"": 1062, ""rising_stress"": 65}"
