method_name,evaluation_frame,n_windows,non_normal_alert_count,non_normal_alert_pct,high_risk_alert_count,high_risk_alert_pct,action_changes_compared_with_physio_only,action_changes_compared_with_physio_only_pct,action_differences_vs_physio_only,action_differences_vs_physio_only_pct,status_differences_vs_physio_only,status_differences_vs_physio_only_pct,status_change_count,decision_stability_pct,action_change_count,action_stability_pct,average_severity_score,decisions_with_rationale_pct,status_distribution,action_distribution
physiology_only,scenario_based_not_causal_validation,1499,326,21.747831887925283,321,21.41427618412275,0,0.0,0,0.0,0,0.0,90,93.99198931909211,90,93.99198931909211,0.6457638425617078,100.0,"{""high_physiological_risk"": 321, ""normal"": 1173, ""rising_stress"": 5}","{""No action needed. Maintain current pace and check in periodically."": 1173, ""Reduce intensity; take a break; hydrate; do 2-3 minutes of slow breathing."": 321, ""Your stress is trending up; slow down and take a short recovery break."": 5}"
air_risk_only,scenario_based_not_causal_validation,1499,164,10.940627084723149,164,10.940627084723149,457,30.4869913275517,457,30.4869913275517,457,30.4869913275517,120,91.98931909212284,120,91.98931909212284,0.218812541694463,100.0,"{""high_air_risk"": 164, ""normal"": 1335}","{""Limit outdoor exposure; consider mask; keep intensity low; prefer indoors."": 164, ""No action needed. Maintain current pace and check in periodically."": 1335}"
weighted_score,scenario_based_not_causal_validation,1499,300,20.0133422281521,300,20.0133422281521,253,16.877918612408273,253,16.877918612408273,253,16.877918612408273,186,87.58344459279039,186,87.58344459279039,0.5090060040026685,100.0,"{""elevated_context_risk"": 163, ""high_physiological_risk"": 111, ""high_risk_combined"": 26, ""normal"": 1199}","{""Avoid running/HIIT outdoors; choose low intensity or indoor activity."": 163, ""No action needed. Maintain current pace and check in periodically."": 1199, ""Reduce intensity; take a break; hydrate; do 2-3 minutes of slow breathing."": 111, ""Stop/avoid outdoor exertion; move indoors; rest; consider mask if you must go out."": 26}"
rule_based_fusion_policy,scenario_based_not_causal_validation,1499,516,34.422948632421615,452,30.153435623749164,231,15.410273515677117,231,15.410273515677117,231,15.410273515677117,300,79.97329773030708,300,79.97329773030708,0.8819212808539026,100.0,"{""elevated_context_risk"": 2, ""high_air_risk"": 129, ""high_physiological_risk"": 288, ""high_risk_combined"": 33, ""normal"": 983, ""rising_stress"": 64}","{""Avoid running/HIIT outdoors; choose low intensity or indoor activity."": 2, ""Limit outdoor exposure; consider mask; keep intensity low; prefer indoors."": 129, ""No action needed. Maintain current pace and check in periodically."": 983, ""Reduce intensity; take a break; hydrate; do 2-3 minutes of slow breathing."": 288, ""Stop/avoid outdoor exertion; move indoors; rest; consider mask if you must go out."": 33, ""Your stress is trending up; slow down and take a short recovery break."": 64}"
